user,twoclass_CSP_KAN_Train,twoclass_CSP_KAN_Test,twoclass_CSP_MLP_Train,twoclass_CSP_MLP_Test,twoclass_RAW_KAN_Train,twoclass_RAW_KAN_Test,twoclass_RAW_MLP_Train,twoclass_RAW_MLP_Test
1,0.7664731594920158,0.6595666639506816,0.7504481479525567,0.7001083156466487,0.8815625002980232,0.5002375023066997,0.7375125002861023,0.5008250036835671
2,0.766299096941948,0.6569666849076747,0.7703074190020563,0.7262916547060014,0.7922000008821487,0.5008812542259693,0.7629187506437302,0.5001687517762183
3,0.9087685322761535,0.8097166821360584,0.9314416885375977,0.9000000473856924,0.8466500005125999,0.505106252282858,0.7113437512516976,0.5032000032067299
4,0.7433796274662019,0.6262916955351829,0.741630545556545,0.6999417200684545,0.8723624995350837,0.5004937528073787,0.709774999022484,0.5001062507927418
5,0.798630569279194,0.6865416973829269,0.7978018590807915,0.7004333454370502,0.7943750002980232,0.500281252115965,0.7290437507629395,0.5012562537193298
6,0.7431073629856112,0.6125666651129721,0.7610388812422755,0.6741833341121676,0.6480624997615815,0.49823125347495073,0.7019375005364419,0.49940625309944153
7,0.8149073815345762,0.6874833415448666,0.8211972424387929,0.7663833695650103,0.6331374981999396,0.5034875017404556,0.7215999990701676,0.500687502026558
8,0.9998055556416512,0.9502916690707204,0.983314717411995,0.975400023162365,0.843949999511242,0.5038875049352646,0.7318937519192698,0.49808750227093695
9,0.8501175725460051,0.7337249922752379,0.8053564366698268,0.7588000214099884,0.8723125007748604,0.5041812533140182,0.7218562483787538,0.502300002425909
